order_id,date,product,category,region,sales_rep,units_sold,unit_price,revenue,cost,profit
1001,2024-01-05,Widget Pro,Electronics,North,Alice,45,129.99,5849.55,3500,2349.55
1002,2024-01-07,Gadget X,Electronics,South,Bob,30,89.99,2699.70,1800,899.70
1003,2024-01-10,Office Chair,Furniture,East,Carol,12,349.00,4188.00,2500,1688.00
1004,2024-01-12,Notebook,Stationery,West,Dave,200,4.99,998.00,600,398.00
1005,2024-01-15,Widget Pro,Electronics,South,Eve,60,129.99,7799.40,4500,3299.40
1006,2024-01-18,Standing Desk,Furniture,North,Alice,8,599.00,4792.00,3200,1592.00
1007,2024-01-20,Gadget X,Electronics,West,Frank,25,89.99,2249.75,1500,749.75
1008,2024-01-22,Pen Set,Stationery,East,Carol,500,2.49,1245.00,750,495.00
1009,2024-01-25,Laptop Stand,Electronics,North,Bob,40,79.99,3199.60,1900,1299.60
1010,2024-01-28,Widget Pro,Electronics,East,Dave,55,129.99,7149.45,4100,3049.45
1011,2024-02-02,Office Chair,Furniture,West,Eve,15,349.00,5235.00,3000,2235.00
1012,2024-02-05,Gadget X,Electronics,North,Frank,35,89.99,3149.65,2100,1049.65
1013,2024-02-08,Notebook,Stationery,South,Alice,300,4.99,1497.00,900,597.00
1014,2024-02-10,Widget Pro,Electronics,West,Bob,70,129.99,9099.30,5400,3699.30
1015,2024-02-14,Standing Desk,Furniture,East,Carol,10,599.00,5990.00,4000,1990.00
1016,2024-02-17,Laptop Stand,Electronics,South,Dave,50,79.99,3999.50,2400,1599.50
1017,2024-02-20,Pen Set,Stationery,North,Eve,800,2.49,1992.00,1200,792.00
1018,2024-02-23,Gadget X,Electronics,East,Frank,45,89.99,4049.55,2700,1349.55
1019,2024-02-27,Office Chair,Furniture,South,Alice,20,349.00,6980.00,4200,2780.00
1020,2024-03-02,Widget Pro,Electronics,North,Bob,80,129.99,10399.20,6200,4199.20
1021,2024-03-05,Notebook,Stationery,East,Carol,400,4.99,1996.00,1200,796.00
1022,2024-03-08,Laptop Stand,Electronics,West,Dave,65,79.99,5199.35,3100,2099.35
1023,2024-03-12,Standing Desk,Furniture,North,Eve,12,599.00,7188.00,4800,2388.00
1024,2024-03-15,Gadget X,Electronics,South,Frank,55,89.99,4949.45,3300,1649.45
1025,2024-03-18,Widget Pro,Electronics,East,Alice,90,129.99,11699.10,7000,4699.10
1026,2024-03-20,Pen Set,Stationery,West,Bob,1000,2.49,2490.00,1500,990.00
1027,2024-03-25,Office Chair,Furniture,North,Carol,18,349.00,6282.00,3800,2482.00
1028,2024-03-28,Laptop Stand,Electronics,East,Dave,70,79.99,5599.30,3300,2299.30
1029,2024-04-02,Gadget X,Electronics,West,Eve,60,89.99,5399.40,3600,1799.40
1030,2024-04-05,Widget Pro,Electronics,South,Frank,100,129.99,12999.00,7800,5199.00
